编号,城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址,星级编码,经度,纬度
10,上海,辰山植物园,1,0.7011357093665588,60.0,0.08490517551523874,上海·上海·佘山国家旅游度假区,"121.188507,31.080816",上海网红野餐地 | “莫奈花园”四季皆美,0,上海市松江区辰花公路3888号,0.0,121.188507,31.080816
11,上海,黄浦江游览（十六铺码头）,1,0.7011357093665588,90.0,0.08089633550907128,上海·上海·黄浦区,"121.503083,31.234893",夜游黄浦江，霓虹交错，赏魔都繁华景象,0,上海市黄浦区中山东二路481号B1层（十六铺码头一区）,0.0,121.503083,31.234893
12,上海,上海中心大厦上海之巅观光厅,1,0.7011357093665588,153.0,0.06218841548028987,上海·上海·浦东新区,"121.512867,31.239758",超高层地标式摩天大楼,0,上海市浦东新区陆家嘴环路479号（近东泰路）,0.0,121.512867,31.239758
13,上海,东平国家森林公园,4,0.5455286796808351,54.7,0.042863750835175,上海·上海·崇明岛,"121.487554,31.689225",在这里，你只需要深呼吸,0,上海市崇明县北沿路2188号,0.75,121.487554,31.689225
14,上海,上海影视乐园,4,0.5455286796808351,70.0,0.04255537852700827,上海·上海·松江区,"121.319396,31.016693",中国十大影视基地之一 | 重回民国上海滩,0,上海市松江区车墩镇北松公路4915号,0.75,121.319396,31.016693
15,上海,外滩,1,1.0,40.0,0.03906049236778537,上海·上海·黄浦区,"121.497854,31.240722",感受上海十里洋场的风景,0,上海市黄浦区中山东一路（北至外白渡桥、南至十六铺码头）,0.0,121.497854,31.240722
16,上海,上海欢乐谷,4,0.5758267677021128,228.9,0.038443747751451915,上海·上海·松江区,"121.22218,31.102491",玩得就是心跳 | 各种刺激好玩娱乐项目,0,上海市松江区佘山镇林湖路888号,0.75,121.22218,31.102491
17,上海,上海杜莎夫人蜡像馆,4,0.6061248557233906,99.0,0.036799095441229376,上海·上海·黄浦区,"121.480215,31.240715",走自己的红毯，与世界明星相遇,0,上海市黄浦区南京西路2-68号新世界商厦10楼,0.75,121.480215,31.240715
18,上海,迪士尼小镇,1,0.7011357093665588,393.4,0.03484607082284011,上海·上海·浦东新区,"121.668347,31.14594",迪士尼大型购物餐饮娱乐区,0,上海市浦东新区迪士尼小镇申迪西路255弄,0.0,121.668347,31.14594
19,上海,上海海洋水族馆,4,0.6061248557233906,154.0,0.03464048928406229,上海·上海·浦东新区,"121.50818,31.246234",穿越世界，来一次终生难忘的海洋之旅,0,上海市浦东新区陆家嘴环路1388号（近东方明珠）,0.75,121.50818,31.246234
20,上海,浦江郊野公园奇迹花园,1,0.7011357093665588,48.9,0.03340700005139538,上海·上海·闵行区,"121.509672,31.060409",200万株奇花异卉 | 童话世界花海野餐,0,上海市闵行区浦星公路2578弄8号,0.0,121.509672,31.060409
21,上海,广富林文化遗址,1,0.7011357093665588,36.8,0.032173510818728476,上海·上海·松江区,"121.20174,31.063886",松江绝美“小故宫” | 探秘水下博物馆,0,上海市松江区广富林路3260弄,0.0,121.20174,31.063886
22,上海,陆家嘴,1,0.7011357093665588,56.0,0.01932466464511487,上海·上海·浦东新区,"121.513278,31.248139",上海金融中心区，感受高大上的金融世界,0,上海市浦东新区西北部,0.0,121.513278,31.248139
23,上海,浦江郊野公园,1,0.7011357093665588,48.9,0.01819396618183687,上海·上海·闵行区,"121.515951,31.061035","浦江郊野公园位于上海闵行区浦星公路(大治河北侧)，是一个“以森林游憩、滨水休闲为主要功能的近郊都市森林型郊野公园”。
公",0,上海市闵行区浦星公路2578弄8号,0.0,121.515951,31.061035
24,上海,豪华浦江游船（东方明珠码头）,1,0.7011357093665588,70.0,0.017063267718558872,上海·上海·浦东新区,"121.503369,31.246365",在此处可将浦江两岸每一道风景线尽收眼底,0,上海市浦东新区滨江大道2852号靠近丰和路口东方明珠游船码头,0.0,121.503369,31.246365
25,上海,金茂大厦88层观光厅,4,0.6364229437446681,56.0,0.016960476949169963,上海·上海·浦东新区,"121.512094,31.240746",上海就在脚下,0,上海市浦东新区浦东世纪大道88号观光厅,0.75,121.512094,31.240746
26,上海,顾村公园,4,0.7011357093665588,48.0,0.01644652310222542,上海·上海·宝山区,"121.384711,31.346641",岛国很远，顾村很近 | 郊游赏樱宝藏公园,0,上海市宝山区顾村镇沪太路4788号环岛路1号（近沪太路）,0.75,121.384711,31.346641
27,上海,共青森林公园,4,0.5758267677021128,15.0,0.013465590789947062,上海·上海·杨浦区,"121.558078,31.326546",在这里尽情领略大自然的情趣,0,上海市杨浦区军工路2000号,0.75,121.558078,31.326546
28,上海,上海周浦花海,1,0.7011357093665588,54.7,0.013054427712391427,上海·上海·浦东新区,"121.65535,31.118973",一年四季鲜花不断，汇成令人迷醉的花海,0,上海市浦东新区周浦镇周邓公路申江路界浜村406号,0.0,121.65535,31.118973
29,上海,环球金融中心观光厅,4,0.5758267677021128,110.0,0.01284884617361361,上海·上海·浦东新区,"121.513463,31.23965",来上海登三高，眺望魔都霓虹闪烁,0,上海市浦东新区世纪大道100号,0.75,121.513463,31.23965
30,上海,上海世纪公园,4,0.5758267677021128,12.9,0.01182093847972452,上海·上海·浦东新区,"121.558497,31.221764",环境“很嗲”，空气“清新”,0,上海市浦东新区浦东锦绣路1001号,0.75,121.558497,31.221764
31,上海,上海汽车博物馆,1,0.5455286796808351,30.0,0.01110140309400216,上海·上海·嘉定区,"121.176622,31.284864",汽车世界，等你来探索,0,上海市嘉定区安亭博园路7565号,0.0,121.176622,31.284864
32,上海,创极速光轮,1,0.7011357093665588,319.0,0.01099861232461325,上海·上海·上海迪士尼乐园,"121.667917,31.149712","可领取快速通行证。驾驶急速光轮,体验全球迪士尼乐园中速度最快的项目之在虚拟世界与生命赛跑,感受惊心动魄的急速飞驰吧。极速",0,上海市浦东新区川沙镇迪士尼度假区明日世界内,0.0,121.667917,31.149712
33,上海,南京路步行街,1,0.727317207808501,49.9,0.010690240016446523,上海·上海·黄浦区,"121.474776,31.234851",火树银花不夜天，霓虹商业一条街,0,上海市黄浦区,0.0,121.474776,31.234851
34,上海,上海海湾国家森林公园,4,0.7011357093665588,62.9,0.010176286169501978,上海·上海·奉贤区,"121.692869,30.86719",魔都超大森林公园 | 户外玩乐清凉一夏,0,上海市奉贤区海湾镇随塘河路1677号,0.75,121.692869,30.86719
35,上海,上海大世界,1,0.5455286796808351,50.0,0.009867913861335252,上海·上海·黄浦区,"121.485885,31.233127",以游艺杂耍和南北戏曲、曲艺为其特色,0,上海市黄浦区西藏南路1号,0.0,121.485885,31.233127
36,上海,上海大观园,4,0.5455286796808351,44.9,0.009662332322557435,上海·上海·青浦区,"120.915048,31.080445",红楼遗梦，亭台楼阁，尽显恢弘宏伟,0,上海市青浦区金商公路701号上海大观园,0.75,120.915048,31.080445
37,上海,加勒比海盗——沉落宝藏之战,1,0.7011357093665588,319.0,0.0078120984735570755,上海·上海·上海迪士尼乐园,"121.667917,31.149712","坐上海盗船与杰克船长一起寻找宝藏,影像效果逼真,引人入胜。加勒比海盗——沉落宝藏之战是宝藏湾里重量级的项目,讲述的是杰克",0,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园内,0.0,121.667917,31.149712
38,上海,外滩观光隧道,1,0.5455286796808351,45.0,0.0078120984735570755,上海·上海·黄浦区,"121.497043,31.245469",具有迷幻色彩的魅力隧道,0,上海市黄浦区中山东一路349号（陈毅广场向北70米）,0.0,121.497043,31.245469
39,上海,上海世茂精灵之城主题乐园（深坑秘境）,1,0.7011357093665588,62.0,0.007400935396001439,上海·上海·松江区,"121.161496,31.063983",古老神秘的峡谷丛林，翱翔天际的上古异兽,0,上海市松江区辰花路5898号,0.0,121.161496,31.063983
41,上海,东方明珠码头·黄浦江游船,1,0.5758267677021128,106.0,0.006167446163334533,上海·上海·东方明珠,"121.503541,31.246287",江中观景，享受休闲旅游,0,上海市浦东新区滨江大道2852号靠近丰和路口东方明珠游船码头,0.75,121.503541,31.246287
42,上海,朱家角古镇,4,0.5455286796808351,25.0,0.006167446163334533,上海·上海·青浦区,"121.061605,31.116917",素有“上海威尼斯”及“沪郊好莱坞”之誉,0,上海市青浦区朱家角镇美周路36号,0.0,121.061605,31.116917
43,上海,滨江森林公园,1,0.5455286796808351,20.0,0.005859073855167806,上海·上海·浦东新区,"121.533982,31.389491",植被覆盖极高的森林公园 | 放风好去处,0,上海市浦东新区最北端高桥镇三岔港,0.75,121.533982,31.389491
44,上海,上海长风海洋世界,4,0.5455286796808351,120.0,0.005447910777612171,上海·上海·普陀区,"121.403563,31.230472",和奥莉一起看魔鬼鱼啦,0,上海市普陀区大渡河路451号（长风公园4号门）,0.75,121.403563,31.230472
45,上海,古猗园,4,0.5758267677021128,10.0,0.005139538469445444,上海·上海·嘉定区,"121.323438,31.298418",猗猗绿竹，幽静曲水，韵味隽永,0,上海市嘉定区南翔镇沪宜路218号,0.75,121.323438,31.298418
46,上海,锦江乐园,4,0.7011357093665588,122.9,0.005139538469445444,上海·上海·闵行区,"121.417416,31.146669",上海乐园鼻祖 | 国内首座巨型摩天轮,0,上海市闵行区虹梅路201号,0.0,121.417416,31.146669
47,上海,EPSON teamLab 无界美术馆 teamLab Borderless Shanghai,1,0.7011357093665588,219.0,0.004933956930667626,上海·上海·黄浦区,"121.504102,31.207456",由艺术团队teamLab打造的大型美术馆“EPSON teamLab无界美术馆：teamLab Borderless S,0,上海市黄浦区花园港路100号C-2单元teamLab无界美术馆,0.75,121.504102,31.207456
48,上海,中国航海博物馆,4,0.7011357093665588,27.0,0.004728375391889809,上海·上海·浦东新区,"121.926115,30.903535",航海世界，你我同行,0,上海市浦东新区申港大道197号,0.0,121.926115,30.903535
49,上海,月湖雕塑公园,1,0.5758267677021128,91.0,0.004728375391889809,上海·上海·佘山国家旅游度假区,"121.211285,31.103375",邀您进入充满知性、感性的艺术桃花源,0,上海市松江区林荫新路1158号,0.0,121.211285,31.103375
50,上海,上海人民广场,1,0.5455286796808351,88.0,0.0046255846225009,上海·上海·黄浦区,"121.48208011703,31.236832849459",融文化、绿化、美化为一体跨世纪活动中心,0,中国上海黄浦区上海人民广场,0.0,121.48208011703,31.236832849459
51,上海,东滩湿地公园,1,0.7011357093665588,45.0,0.0045227938531119906,上海·上海·崇明岛,"121.955196,31.521639",观日出看候鸟 | 植被丰盛的风光摄影地,0,上海市崇明县东滩东旺路,0.0,121.955196,31.521639
52,上海,金色童话盛典,1,0.5758267677021128,319.0,0.0039060492367785377,上海·上海·浦东新区,"121.671964,31.148267",欣赏您喜爱的迪士尼公主们倾情上演的的音乐舞台盛宴，领略奇妙魔力和动人乐曲。白雪公主、安娜和艾莎、茉莉、爱丽儿和梅莉达诚邀,0,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园,0.0,121.671964,31.148267
53,上海,上海植物园,1,0.6364229437446681,25.0,0.0039060492367785377,上海·上海·徐汇区,"121.450202,31.152495",驻沪海外人士极为喜爱的郊游目的地,0,上海市徐汇区龙吴路1111号,0.75,121.450202,31.152495
54,上海,上海博物馆,4,0.6364229437446681,1.0,0.003597676928611811,上海·上海·黄浦区,"121.482,31.2343",大型中国古代艺术博物馆，国内外享有盛誉,0,上海市黄浦区人民大道201号,0.0,121.482,31.2343
55,上海,上海城隍庙,1,0.7011357093665588,0.5,0.0033920953898339927,上海·上海·黄浦区,"121.49912146681,31.231409005048",“中华一绝”的民俗艺术,0,上海市黄浦区方浜中路249号,0.0,121.49912146681,31.231409005048
56,上海,都市观光旅游巴士,1,0.7011357093665588,37.0,0.003289304620445084,上海·上海·黄浦区,"121.497355,31.246226",随上随下，饱览上海城市风光,0,上海市中山东一路391号“都市观光”外滩旅游服务中心,0.0,121.497355,31.246226
57,上海,黄浦江游览（金陵东路码头）,1,0.7011357093665588,55.0,0.0031865138510561754,上海·上海·黄浦区,"121.499782,31.237973",浦江游览精华游近赏上海的地理地标—黄浦江两岸的美景，快线游则浓缩了浦江两岸的精华，路线为金陵东路码头—十六铺码头—老码头,0,上海市黄浦区中山东二路141号金陵东路渡口,0.0,121.499782,31.237973
58,上海,BUS TOUR 上海观光游,1,0.7011357093665588,85.0,0.3323225574343424,上海·上海·黄浦区,"121.474293,31.234512",,0,上海市黄埔区九江路588号（近湖北路）,0.0,121.474293,31.234512
60,云南,七彩云南欢乐世界,1,0.7879133838510562,184.0,0.0844940124376831,云南·昆明·晋宁县,"102.759278,24.712651",丰富的自然山水资源、旖旎多姿的民族文化,0,云南省昆明市晋宁区晋城镇,0.75,102.759278,24.712651
61,云南,云南民族村,4,0.7576152958297787,79.0,0.07010330472323585,云南·昆明·西山区,"102.669319,24.971676",体验云南多个种族的文化沉淀,0,云南省昆明市西山区滇池路1310号,1.0,102.669319,24.971676
62,云南,景洪曼听公园,4,1.0,40.0,0.056123760086344246,云南·西双版纳·景洪市,"100.814267,21.998503",古老的傣王御花园,0,云南省西双版纳傣族自治州景洪市曼听路35号,0.75,100.814267,21.998503
63,云南,中科院西双版纳热带植物园,5,0.9394038239574446,75.0,0.04995631392300971,云南·西双版纳·勐腊县,"101.260734,21.933968",四千余种来自世界各地的热带植物栖居于此,0,云南省西双版纳州勐腊县勐仑镇(近野象谷),1.0,101.260734,21.933968
64,云南,野象谷,4,0.6970191197872234,58.0,0.04923677853728735,云南·西双版纳·景洪市,"100.865759,22.175621",与憨态可掬的大象漫步在热带雨林,0,云南省西双版纳傣族自治州景洪市勐养镇三岔河,0.75,100.865759,22.175621
65,云南,玉龙雪山,5,0.7879133838510562,388.0,0.03309862774322866,云南·丽江·玉龙县,"100.270093,27.034011",壮美大雪山，十三座雪峰连绵不绝,0,云南省丽江市玉龙纳西族自治县,1.0,100.270093,27.034011
66,云南,西双版纳原始森林公园,4,0.7011357093665588,43.0,0.0324818831268952,云南·西双版纳·景洪市,"100.881258,22.033038",独特的原始热带雨林自然风光融合民族风情,0,云南省西双版纳傣族自治州距景洪市8公里处213国道旁,0.0,100.881258,22.033038
67,云南,崇圣寺三塔,5,0.7011357093665588,61.0,0.027753507735005397,云南·大理·大理古城,"100.149535,25.710163",大理的标志和象征，来大理不可错过的地方哦,0,云南省大理市大理古城西北两公里的苍山应乐峰下,0.0,100.149535,25.710163
68,云南,青鱼湾水上乐园,1,1.0,103.0,0.026006064655393946,云南·昆明,"102.54549,24.851305",感受云南大型水上乐园的乐趣,0,云南省昆明市海口镇小海口收费站右转2公里处,0.75,102.54549,24.851305
69,云南,丽江千古情景区,1,0.8788076479148893,280.0,0.024875366192115948,云南·丽江·玉龙县,"100.226381,26.834458",一生必看的演出,0,云南省丽江市玉龙县玉兴西路,0.75,100.226381,26.834458
70,云南,傣族园,4,0.8182114718723342,45.0,0.02477257542272704,云南·西双版纳·景洪市,"100.954223,21.855821",梦回傣族园，聆听另一种文化,0,云南省西双版纳市景洪市勐罕镇橄榄坝,0.75,100.954223,21.855821
71,云南,泸沽湖,4,0.6667210317659457,70.0,0.024155830806393587,云南·丽江·宁蒗县,"100.799558,27.668458",翠绿如画，身临其境，水天一色，清澈如镜,0,云南丽江市宁蒗彝族自治县东北部永宁乡,1.0,100.799558,27.668458
72,云南,苍山国家地质公园,4,0.7011357093665588,94.3,0.02364187695944904,云南·大理·大理市,"100.175674,25.650175",绝色美景，不去就真的遗憾,0,云南省大理白族自治州大理市漾濞彝族自治县,0.0,100.175674,25.650175
73,云南,石林,5,0.5455286796808351,178.0,0.02353908619006013,云南·昆明·石林彝族自治县,"103.332585,24.823046",怪石林立，突兀峥嵘，姿态各异,0,云南省昆明市石林彝族自治县境内,0.75,103.332585,24.823046
74,云南,东风韵,1,0.8485095598936118,40.0,0.020660944647170686,云南·红河·弥勒县,"103.405246,24.312697",以文化艺术创意为特色的小镇,0,云南省红河州弥勒市东风农场内,0.75,103.405246,24.312697
75,云南,鸡足山,4,0.5758267677021128,53.0,0.018605129259392506,云南·大理·大理市,"100.400433,25.958131",享誉南亚、东南亚的佛教圣地,0,云南省大理州宾川县以西约30公里处,0.75,100.400433,25.958131
76,云南,噶丹松赞林寺,4,0.7011357093665588,90.0,0.01757722156550342,云南·迪庆·香格里拉县,"99.712056,27.86626",寻梦香格里拉，寻找消失的地平线,0,云南省迪庆藏族自治州香格里拉县尼旺路下段,0.0,99.712056,27.86626
77,云南,九乡风景名胜区,4,0.6364229437446681,60.0,0.01654931387161433,云南·昆明·宜良县,"103.390531,25.073926",九乡溶洞九十九，数完溶洞白了头,0,云南省昆明市宜良县九乡风景名胜区,0.75,103.390531,25.073926
78,云南,云南野生动物园,1,0.6364229437446681,97.0,0.013671172328724881,云南·昆明·盘龙区,"102.795122,25.101678",我国大型野生动物保护研究基地,0,云南省昆明市盘龙区穿金路,0.75,102.795122,25.101678
79,云南,西双版纳勐泐文化旅游区,4,0.7011357093665588,108.0,0.013054427712391427,云南·西双版纳·景洪市,"100.81375519985,21.969540244135",古代傣王朝的皇家寺院,0,云南省西双版纳州景洪市勐泐大道顶端4路1号,0.0,100.81375519985,21.969540244135
80,云南,南诏风情岛,4,1.0,38.7,0.012334892326669065,云南·大理·洱源县,"100.198355,25.907885",摄影家梦开始的地方,0,云南省大理白族自治州洱源县环海路双廊镇,1.0,100.198355,25.907885
81,云南,七彩云南古滇温泉山庄,1,0.7011357093665588,185.0,0.011615356940946703,云南·昆明·晋宁县,"102.762433,24.774281",养生、娱乐、美食、住宿、运动集为一体,0,云南省昆明市晋宁县晋城镇新街片区三合村委会,0.0,102.762433,24.774281
82,云南,丽江古城,5,0.5758267677021128,28.0,0.01099861232461325,云南·丽江·古城区,"100.240547,26.881159",一座没有城墙的古城，依山傍水，风景秀丽,0,云南省丽江市玉龙纳西族自治县东大街1号,0.0,100.240547,26.881159
83,云南,建水小火车,1,0.7011357093665588,95.0,0.01089582155522434,云南·红河·建水县,"102.837955,23.628677",百年寸轨黄金线，千年古城观光车,0,云南省红河市建水县临安火车站,0.0,102.837955,23.628677
84,云南,苍山感通索道,1,0.5758267677021128,94.3,0.010793030785835432,云南·大理·大理苍山石门关景区,"100.176432,25.650631","仰望苍山雪峰,俯瞰百里洱海",0,云南省大理市苍山景区感通索道,0.0,100.176432,25.650631
85,云南,大理海洋世界,1,0.7011357093665588,68.0,0.010690240016446523,云南·大理·大理市,"100.322286,25.687156",“大理海洋世界”外观呈蓝色，造型设计为波浪形，总建筑面积约2.4万平方米，其中游览观赏面积超过1.8万平方米。场馆结合云,0,云南省大理白族自治州云南大理北京湾旁,0.0,100.322286,25.687156
86,云南,昆明动物园,1,0.6364229437446681,20.0,0.010690240016446523,云南·昆明·五华区,"102.716251,25.060346",花潮、动物、古寺，尤为引人,0,云南省昆明市五华区青年路北段的圆通山,0.5,102.716251,25.060346
87,云南,昆明花都海洋世界,1,0.6364229437446681,145.0,0.010484658477668706,云南·昆明·呈贡区,"102.787514,24.901387",以花卉、海洋为主题的内陆高原海洋世界,0,云南省昆明市呈贡区斗南花花世界,0.0,102.787514,24.901387
88,云南,拉市海,3,0.6061248557233906,29.0,0.010176286169501978,云南·丽江·玉龙县,"100.145593,26.896784",湿地自然保护区,0,云南省丽江市玉龙县拉市海湿地公园,0.75,100.145593,26.896784
89,云南,苍山洗马潭索道,1,0.7011357093665588,114.0,0.009559541553168526,云南·大理·天龙八部影视城,"100.154462,25.686735",体验在山云间穿梭之美，一览苍山美景,0,云南省大理白族自治州大理市苍山景区下三月街天龙八部影视城内,0.75,100.154462,25.686735
90,云南,昆明西山龙门景区,4,0.727317207808501,67.0,0.00914837847561289,云南·昆明·西山区,"102.640355,24.964658",瞻仰文化碑林，看满清八旗遗迹,0,云南省昆明市西山区西山公路,0.75,102.640355,24.964658
91,云南,滇池索道,4,0.7011357093665588,38.0,0.008942796936835072,云南·昆明·滇池,"102.658903,24.965776",既跨水又越山的索道,0,云南省昆明市滇池旅游度假区湖滨路16号,0.0,102.658903,24.965776
92,云南,朱家花园,4,0.727317207808501,18.0,0.008634424628668346,云南·红河·建水县,"102.833826,23.622492",一组规模巨大的清代民居建筑群,0,云南省红河州建水县翰林街16号,0.75,102.833826,23.622492
93,云南,锦屏山风景区,1,0.7011357093665588,24.0,0.008017680012334893,云南·红河·弥勒县,"103.435938,24.476699",花木似锦，山峰连列如屏，世称锦屏,0,红河州弥勒市西三镇锦屏山风景区,0.0,103.435938,24.476699
94,云南,望天树景区,4,0.6364229437446681,169.0,0.007709307704168166,云南·西双版纳·勐腊县,"101.594904,21.625925",走进望天树，亲近热带雨林,0,云南省勐腊县西双版纳热带雨林国家公园望天树景区,0.5,101.594904,21.625925
95,云南,昆明融创海世界,1,0.7011357093665588,180.0,0.007709307704168166,云南·昆明·昆明融创乐园,"102.659586,25.021597",昆明融创海世界占地面积4万平方米，相当于6个标准足球场，馆内陈设78个展缸，畅游着千余种珍稀海洋生物，梦幻珊瑚花海骄傲绽,0,云南省昆明市西山区碧鸡路2999-1号昆明融创海世界（2号停车场）,0.75,102.659586,25.021597
96,云南,天龙八部影视城,3,1.0,32.0,0.007400935396001439,云南·大理·大理市,"100.155122,25.688114",为拍摄《天龙八部》兴建的拍摄基地,0,云南省大理州大理古城苍山景区下,1.0,100.155122,25.688114
97,云南,西部大峡谷温泉,4,0.7576152958297787,76.0,0.00729814462661253,云南·昭通·水富县,"104.377061,28.644863",沉醉在山顶的云雾中，沐浴在升腾的水雾里,0,云南省昭通市水富县金沙江畔,0.0,104.377061,28.644863
98,云南,普者黑,5,0.6667210317659457,180.0,0.006886981549056895,云南·文山·丘北县,"104.13577,24.123152",中国独一无二的喀斯特山水田园风光,0,云南省文山壮族苗族自治州丘北县城西13公里,0.0,104.13577,24.123152
99,云南,基诺山,1,0.5758267677021128,152.0,0.006681400010279077,云南·西双版纳·景洪市,"100.992626,22.061546",感受原始、纯朴的民俗风情,0,云南省西双版纳景洪市基诺乡,0.0,100.992626,22.061546
100,云南,喜洲,1,1.0,15.0,0.006578609240890168,云南·大理·大理市,"100.13721,25.856048",建筑造型独具特色，庄重雄浑，古朴典雅,0,云南-大理古城以北18公里处,0.5,100.13721,25.856048
101,云南,冰川公园,1,0.7011357093665588,188.0,0.006373027702112351,云南·丽江·玉龙雪山,"100.260971,27.104797",浓缩全球中低纬度山岳冰川的主要精华,0,云南省丽江市玉龙纳西族自治县雪山景区内,0.0,100.260971,27.104797
102,云南,多依河,3,0.7011357093665588,40.0,0.005961864624556715,云南·曲靖·罗平县,"104.507315,24.768979",布依风情浓郁，原始古朴的水车缓慢运转,0,云南省曲靖市罗平县罗乃路,0.5,104.507315,24.768979
103,云南,昆明西游洞,1,0.7011357093665588,85.0,0.00555070154700108,云南·昆明·五华区,"102.648809,25.147944",喀斯特地质溶洞，《西游记》的拍摄地,0,云南省昆明市五华区昆禄公路6公里处,0.0,102.648809,25.147944
104,云南,坝美景区,3,0.6667210317659457,180.0,0.00555070154700108,云南·文山·广南县,"105.047666,24.319947",山清水秀，充满绿意，秀美世外桃源,0,云南省文山壮族苗族自治州广南县,0.75,105.047666,24.319947
105,云南,情人树,1,0.7011357093665588,70.0,0.005447910777612171,云南·丽江·宁蒗县,"100.841051,27.679344",人间爱情的见证,0,云南省丽江市宁蒗彝族自治县环湖公路,0.0,100.841051,27.679344
106,云南,西双版纳热带花卉园,4,0.7011357093665588,35.0,0.0053451200082232616,云南·西双版纳·景洪市,"100.794184,22.016914",白白的缅桂花香气，飘进每一个傣家竹楼,0,云南省西双版纳傣族自治州景洪市宣慰大道99号,0.0,100.794184,22.016914
107,云南,牦牛坪索道,1,0.7011357093665588,220.0,0.004933956930667626,云南·丽江·玉龙雪山,"100.26092,27.104549",与天然幽静古补的原始森林景观为群,0,云南省丽江市玉龙纳西族自治县玉龙雪山国家风景名胜区北部,0.0,100.26092,27.104549
108,云南,里格半岛,1,0.7011357093665588,150.0,0.004831166161278717,云南·丽江·宁蒗县,"100.758068,27.733882",宛如仙境的小岛,0,云南省丽江市宁蒗彝族自治县,0.0,100.758068,27.733882
109,云南,湄公河水底世界,1,0.7011357093665588,98.0,0.004831166161278717,云南·西双版纳,"100.880826,22.033484",湄公河水底世界里面有各种海洋鱼类，水母等！有美人鱼剧场表演，有震撼的7D飞跃湄公河8分钟带您体验一江通六国的奇幻之旅。,0,西双版纳原始森林公园湄公河水底世界,0.0,100.880826,22.033484
110,云南,古滇朵拉萌宠乐园,1,0.8182114718723342,58.0,0.004831166161278717,云南·昆明·晋宁县,"102.762156,24.77143",古滇朵拉萌宠乐园位于昆明市七彩云南?古滇名城项目内，占地117亩，是北京朵拉爱萌旅游开发股份有限公司秉承 “回归本真、融,0,昆明市晋宁区经十一路1号,1.0,102.762156,24.77143
111,云南,昆明小人国,1,1.0,90.0,0.004728375391889809,云南·昆明·世界蝴蝶生态园,"102.624528,24.858553",100多个袖珍人给您带来精彩的演出,0,云南省昆明市西山区碧鸡镇黑荞母村,0.75,102.624528,24.858553
112,云南,普达措国家公园,5,0.7011357093665588,100.0,0.004728375391889809,云南·迪庆·香格里拉县,"99.91451,27.807468",张杰谢娜婚礼之地，原始森林中的伊甸园,0,云南省迪庆藏族自治州香格里拉县建塘镇双桥,0.0,99.91451,27.807468
113,云南,洱海,4,0.7011357093665588,113.5,0.004214421544945264,云南·大理·大理市,"100.262195,25.610132",邂逅爱情的绝佳之地,0,云南省大理市下关洱河南路1号,0.0,100.262195,25.610132
