编号,城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
18,上海,迪士尼小镇,,0,393.4,680,上海·上海·浦东新区,"121.668347,31.14594",迪士尼大型购物餐饮娱乐区,FALSE,上海市浦东新区迪士尼小镇申迪西路255弄
19,上海,上海海洋水族馆,4 A,3.7,154,676,上海·上海·浦东新区,"121.50818,31.246234",穿越世界，来一次终生难忘的海洋之旅,FALSE,上海市浦东新区陆家嘴环路1388号（近东方明珠）
20,上海,浦江郊野公园奇迹花园,,0,48.9,652,上海·上海·闵行区,"121.509672,31.060409",200万株奇花异卉 | 童话世界花海野餐,FALSE,上海市闵行区浦星公路2578弄8号
21,上海,广富林文化遗址,,0,36.8,628,上海·上海·松江区,"121.20174,31.063886",松江绝美“小故宫” | 探秘水下博物馆,FALSE,上海市松江区广富林路3260弄
22,上海,陆家嘴,,0,56,378,上海·上海·浦东新区,"121.513278,31.248139",上海金融中心区，感受高大上的金融世界,FALSE,上海市浦东新区西北部
23,上海,浦江郊野公园,,0,48.9,356,上海·上海·闵行区,"121.515951,31.061035","浦江郊野公园位于上海闵行区浦星公路(大治河北侧)，是一个“以森林游憩、滨水休闲为主要功能的近郊都市森林型郊野公园”。
公",FALSE,上海市闵行区浦星公路2578弄8号
24,上海,豪华浦江游船（东方明珠码头）,,0,70,334,上海·上海·浦东新区,"121.503369,31.246365",在此处可将浦江两岸每一道风景线尽收眼底,FALSE,上海市浦东新区滨江大道2852号靠近丰和路口东方明珠游船码头
25,上海,金茂大厦88层观光厅,4 A,3.8,56,332,上海·上海·浦东新区,"121.512094,31.240746",上海就在脚下,FALSE,上海市浦东新区浦东世纪大道88号观光厅
26,上海,顾村公园,4 A,0,48,322,上海·上海·宝山区,"121.384711,31.346641",岛国很远，顾村很近 | 郊游赏樱宝藏公园,FALSE,上海市宝山区顾村镇沪太路4788号环岛路1号（近沪太路）
27,上海,共青森林公园,4 A,3.6,15,264,上海·上海·杨浦区,"121.558078,31.326546",在这里尽情领略大自然的情趣,FALSE,上海市杨浦区军工路2000号
28,上海,上海周浦花海,,0,54.7,256,上海·上海·浦东新区,"121.65535,31.118973",一年四季鲜花不断，汇成令人迷醉的花海,FALSE,上海市浦东新区周浦镇周邓公路申江路界浜村406号
29,上海,环球金融中心观光厅,4 A,3.6,110,252,上海·上海·浦东新区,"121.513463,31.23965",来上海登三高，眺望魔都霓虹闪烁,FALSE,上海市浦东新区世纪大道100号
30,上海,上海世纪公园,4 A,3.6,12.9,232,上海·上海·浦东新区,"121.558497,31.221764",环境“很嗲”，空气“清新”,FALSE,上海市浦东新区浦东锦绣路1001号
31,上海,上海汽车博物馆,,3.5,30,218,上海·上海·嘉定区,"121.176622,31.284864",汽车世界，等你来探索,FALSE,上海市嘉定区安亭博园路7565号
32,上海,创极速光轮,,0,319,216,上海·上海·上海迪士尼乐园,"121.667917,31.149712","可领取快速通行证。驾驶急速光轮,体验全球迪士尼乐园中速度最快的项目之在虚拟世界与生命赛跑,感受惊心动魄的急速飞驰吧。极速",FALSE,上海市浦东新区川沙镇迪士尼度假区明日世界内
33,上海,南京路步行街,,4.1,49.9,210,上海·上海·黄浦区,"121.474776,31.234851",火树银花不夜天，霓虹商业一条街,FALSE,上海市黄浦区
34,上海,上海海湾国家森林公园,4 A,0,62.9,200,上海·上海·奉贤区,"121.692869,30.86719",魔都超大森林公园 | 户外玩乐清凉一夏,FALSE,上海市奉贤区海湾镇随塘河路1677号
35,上海,上海大世界,,3.5,50,194,上海·上海·黄浦区,"121.485885,31.233127",以游艺杂耍和南北戏曲、曲艺为其特色,FALSE,上海市黄浦区西藏南路1号
36,上海,上海大观园,4 A,3.5,44.9,190,上海·上海·青浦区,"120.915048,31.080445",红楼遗梦，亭台楼阁，尽显恢弘宏伟,FALSE,上海市青浦区金商公路701号上海大观园
37,上海,加勒比海盗——沉落宝藏之战,,0,319,154,上海·上海·上海迪士尼乐园,"121.667917,31.149712","坐上海盗船与杰克船长一起寻找宝藏,影像效果逼真,引人入胜。加勒比海盗——沉落宝藏之战是宝藏湾里重量级的项目,讲述的是杰克",FALSE,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园内
38,上海,外滩观光隧道,,3.5,45,154,上海·上海·黄浦区,"121.497043,31.245469",具有迷幻色彩的魅力隧道,FALSE,上海市黄浦区中山东一路349号（陈毅广场向北70米）
39,上海,上海世茂精灵之城主题乐园（深坑秘境）,,0,62,146,上海·上海·松江区,"121.161496,31.063983",古老神秘的峡谷丛林，翱翔天际的上古异兽,FALSE,上海市松江区辰花路5898号
40,上海,上海世茂精灵之城主题乐园（蓝精灵乐园）,,0,146.69,134,上海·上海·上海世茂精灵之城主题乐园（深坑秘境）,"0.0,0.0",,FALSE,上海市松江区辰花路5088号
41,上海,东方明珠码头·黄浦江游船,,0,106,130,上海·上海·东方明珠,"121.503541,31.246287",江中观景，享受休闲旅游,FALSE,上海市浦东新区滨江大道2852号靠近丰和路口东方明珠游船码头
42,上海,朱家角古镇,4 A,3.6,25,122,上海·上海·青浦区,"121.061605,31.116917",素有“上海威尼斯”及“沪郊好莱坞”之誉,FALSE,上海市青浦区朱家角镇美周路36号
43,上海,滨江森林公园,,3.5,20,122,上海·上海·浦东新区,"121.533982,31.389491",植被覆盖极高的森林公园 | 放风好去处,FALSE,上海市浦东新区最北端高桥镇三岔港
44,上海,上海长风海洋世界,4 A,3.5,120,116,上海·上海·普陀区,"121.403563,31.230472",和奥莉一起看魔鬼鱼啦,FALSE,上海市普陀区大渡河路451号（长风公园4号门）
45,上海,古猗园,4 A,3.5,10,108,上海·上海·嘉定区,"121.323438,31.298418",猗猗绿竹，幽静曲水，韵味隽永,FALSE,上海市嘉定区南翔镇沪宜路218号
46,上海,锦江乐园,4 A,3.6,122.9,102,上海·上海·闵行区,"121.417416,31.146669",上海乐园鼻祖 | 国内首座巨型摩天轮,FALSE,上海市闵行区虹梅路201号
47,上海,EPSON teamLab 无界美术馆 teamLab Borderless Shanghai,,0,219,102,上海·上海·黄浦区,"121.504102,31.207456",由艺术团队teamLab打造的大型美术馆“EPSON teamLab无界美术馆：teamLab Borderless S,FALSE,上海市黄浦区花园港路100号C-2单元teamLab无界美术馆
48,上海,中国航海博物馆,4 A,0,27,98,上海·上海·浦东新区,"121.926115,30.903535",航海世界，你我同行,FALSE,上海市浦东新区申港大道197号
49,上海,月湖雕塑公园,,0,91,94,上海·上海·佘山国家旅游度假区,"121.211285,31.103375",邀您进入充满知性、感性的艺术桃花源,FALSE,上海市松江区林荫新路1158号
50,上海,上海人民广场,,3.6,88,94,上海·上海·黄浦区,"121.48208011703,31.236832849459",融文化、绿化、美化为一体跨世纪活动中心,FALSE,中国上海黄浦区上海人民广场
51,上海,东滩湿地公园,,3.5,45,92,上海·上海·崇明岛,"121.955196,31.521639",观日出看候鸟 | 植被丰盛的风光摄影地,FALSE,上海市崇明县东滩东旺路
52,上海,金色童话盛典,,0,319,90,上海·上海·浦东新区,"121.671964,31.148267",欣赏您喜爱的迪士尼公主们倾情上演的的音乐舞台盛宴，领略奇妙魔力和动人乐曲。白雪公主、安娜和艾莎、茉莉、爱丽儿和梅莉达诚邀,FALSE,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园
53,上海,上海植物园,,3.6,25,78,上海·上海·徐汇区,"121.450202,31.152495",驻沪海外人士极为喜爱的郊游目的地,FALSE,上海市徐汇区龙吴路1111号
54,上海,上海博物馆,4 A,3.8,1,78,上海·上海·黄浦区,"121.482,31.2343",大型中国古代艺术博物馆，国内外享有盛誉,FALSE,上海市黄浦区人民大道201号
55,上海,上海城隍庙,,3.8,0.5,72,上海·上海·黄浦区,"121.49912146681,31.231409005048",“中华一绝”的民俗艺术,FALSE,上海市黄浦区方浜中路249号
56,上海,都市观光旅游巴士,,0,37,68,上海·上海·黄浦区,"121.497355,31.246226",随上随下，饱览上海城市风光,FALSE,上海市中山东一路391号“都市观光”外滩旅游服务中心
57,上海,黄浦江游览（金陵东路码头）,,0,55,66,上海·上海·黄浦区,"121.499782,31.237973",浦江游览精华游近赏上海的地理地标—黄浦江两岸的美景，快线游则浓缩了浦江两岸的精华，路线为金陵东路码头—十六铺码头—老码头,FALSE,上海市黄浦区中山东二路141号金陵东路渡口
58,上海,BUS TOUR 上海观光游,,0,85,64,上海·上海·黄浦区,"121.474293,31.234512",,FALSE,上海市黄埔区九江路588号（近湖北路）
59,上海,翱翔?飞越地平线,,0,烫烫烫,64,上海·上海·上海迪士尼乐园,"121.667917,31.149712","可领取快速通行证。如雷鸟一般在空中翱翔,环游世界著名城市和景观。来一场令人兴奋的飞行,以前所未有的方式见证这个神奇的世界",FALSE,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园内
60,云南,七彩云南欢乐世界,,0,184,6468,云南·昆明·晋宁县,"102.759278,24.712651",丰富的自然山水资源、旖旎多姿的民族文化,FALSE,云南省昆明市晋宁区晋城镇
61,云南,云南民族村,4 A,3.9,79,2430,云南·昆明·西山区,"102.669319,24.971676",体验云南多个种族的文化沉淀,FALSE,云南省昆明市西山区滇池路1310号
62,云南,景洪曼听公园,4 A,4.3,40,1646,云南·西双版纳·景洪市,"100.814267,21.998503",古老的傣王御花园,FALSE,云南省西双版纳傣族自治州景洪市曼听路35号
63,云南,中科院西双版纳热带植物园,5 A,4.2,75,1366,云南·西双版纳·勐腊县,"101.260734,21.933968",四千余种来自世界各地的热带植物栖居于此,FALSE,云南省西双版纳州勐腊县勐仑镇(近野象谷)
64,云南,野象谷,4 A,5,58,1094,云南·西双版纳·景洪市,"100.865759,22.175621",与憨态可掬的大象漫步在热带雨林,FALSE,云南省西双版纳傣族自治州景洪市勐养镇三岔河
65,云南,玉龙雪山,5 A,4.8,388,974,云南·丽江·玉龙县,"100.270093,27.034011",壮美大雪山，十三座雪峰连绵不绝,FALSE,云南省丽江市玉龙纳西族自治县
66,云南,西双版纳原始森林公园,4 A,4,43,960,云南·西双版纳·景洪市,"100.881258,22.033038",独特的原始热带雨林自然风光融合民族风情,FALSE,云南省西双版纳傣族自治州距景洪市8公里处213国道旁
67,云南,崇圣寺三塔,5 A,4.3,61,646,云南·大理·大理古城,"100.149535,25.710163",大理的标志和象征，来大理不可错过的地方哦,FALSE,云南省大理市大理古城西北两公里的苍山应乐峰下
68,云南,青鱼湾水上乐园,,0,103,634,云南·昆明,"102.54549,24.851305",感受云南大型水上乐园的乐趣,FALSE,云南省昆明市海口镇小海口收费站右转2公里处
69,云南,丽江千古情景区,,0,280,542,云南·丽江·玉龙县,"100.226381,26.834458",一生必看的演出,FALSE,云南省丽江市玉龙县玉兴西路
70,云南,傣族园,4 A,5,45,508,云南·西双版纳·景洪市,"100.954223,21.855821",梦回傣族园，聆听另一种文化,FALSE,云南省西双版纳市景洪市勐罕镇橄榄坝
71,云南,泸沽湖,4 A,4.6,70,486,云南·丽江·宁蒗县,"100.799558,27.668458",翠绿如画，身临其境，水天一色，清澈如镜,FALSE,云南丽江市宁蒗彝族自治县东北部永宁乡
72,云南,苍山国家地质公园,4 A,4.4,94.3,484,云南·大理·大理市,"100.175674,25.650175",绝色美景，不去就真的遗憾,FALSE,云南省大理白族自治州大理市漾濞彝族自治县
73,云南,石林,5 A,3.9,178,472,云南·昆明·石林彝族自治县,"103.332585,24.823046",怪石林立，突兀峥嵘，姿态各异,FALSE,云南省昆明市石林彝族自治县境内
74,云南,东风韵,,0,40,462,云南·红河·弥勒县,"103.405246,24.312697",以文化艺术创意为特色的小镇,FALSE,云南省红河州弥勒市东风农场内
75,云南,鸡足山,4 A,3.5,53,460,云南·大理·大理市,"100.400433,25.958131",享誉南亚、东南亚的佛教圣地,FALSE,云南省大理州宾川县以西约30公里处
76,云南,噶丹松赞林寺,4 A,4.5,90,404,云南·迪庆·香格里拉县,"99.712056,27.86626",寻梦香格里拉，寻找消失的地平线,FALSE,云南省迪庆藏族自治州香格里拉县尼旺路下段
77,云南,九乡风景名胜区,4 A,3.6,60,364,云南·昆明·宜良县,"103.390531,25.073926",九乡溶洞九十九，数完溶洞白了头,FALSE,云南省昆明市宜良县九乡风景名胜区
78,云南,云南野生动物园,,0,97,344,云南·昆明·盘龙区,"102.795122,25.101678",我国大型野生动物保护研究基地,FALSE,云南省昆明市盘龙区穿金路
79,云南,西双版纳勐泐文化旅游区,4 A,3.8,108,324,云南·西双版纳·景洪市,"100.81375519985,21.969540244135",古代傣王朝的皇家寺院,FALSE,云南省西双版纳州景洪市勐泐大道顶端4路1号
80,云南,南诏风情岛,4 A,3.8,38.7,268,云南·大理·洱源县,"100.198355,25.907885",摄影家梦开始的地方,FALSE,云南省大理白族自治州洱源县环海路双廊镇
81,云南,七彩云南古滇温泉山庄,,0,185,256,云南·昆明·晋宁县,"102.762433,24.774281",养生、娱乐、美食、住宿、运动集为一体,FALSE,云南省昆明市晋宁县晋城镇新街片区三合村委会
82,云南,丽江古城,5 A,5,28,242,云南·丽江·古城区,"100.240547,26.881159",一座没有城墙的古城，依山傍水，风景秀丽,FALSE,云南省丽江市玉龙纳西族自治县东大街1号
83,云南,建水小火车,,0,95,228,云南·红河·建水县,"102.837955,23.628677",百年寸轨黄金线，千年古城观光车,FALSE,云南省红河市建水县临安火车站
84,云南,苍山感通索道,,3.6,94.3,216,云南·大理·大理苍山石门关景区,"100.176432,25.650631","仰望苍山雪峰,俯瞰百里洱海",FALSE,云南省大理市苍山景区感通索道
85,云南,大理海洋世界,,0,68,214,云南·大理·大理市,"100.322286,25.687156",“大理海洋世界”外观呈蓝色，造型设计为波浪形，总建筑面积约2.4万平方米，其中游览观赏面积超过1.8万平方米。场馆结合云,FALSE,云南省大理白族自治州云南大理北京湾旁
86,云南,昆明动物园,,3.6,20,212,云南·昆明·五华区,"102.716251,25.060346",花潮、动物、古寺，尤为引人,FALSE,云南省昆明市五华区青年路北段的圆通山
87,云南,昆明花都海洋世界,,0,145,210,云南·昆明·呈贡区,"102.787514,24.901387",以花卉、海洋为主题的内陆高原海洋世界,FALSE,云南省昆明市呈贡区斗南花花世界
88,云南,拉市海,3A,3.8,29,210,云南·丽江·玉龙县,"100.145593,26.896784",湿地自然保护区,FALSE,云南省丽江市玉龙县拉市海湿地公园
89,云南,苍山洗马潭索道,,3.8,114,206,云南·大理·天龙八部影视城,"100.154462,25.686735",体验在山云间穿梭之美，一览苍山美景,FALSE,云南省大理白族自治州大理市苍山景区下三月街天龙八部影视城内
90,云南,昆明西山龙门景区,4 A,3.7,67,200,云南·昆明·西山区,"102.640355,24.964658",瞻仰文化碑林，看满清八旗遗迹,FALSE,云南省昆明市西山区西山公路
91,云南,滇池索道,4 A,0,38,188,云南·昆明·滇池,"102.658903,24.965776",既跨水又越山的索道,FALSE,云南省昆明市滇池旅游度假区湖滨路16号
92,云南,朱家花园,4 A,4.1,18,180,云南·红河·建水县,"102.833826,23.622492",一组规模巨大的清代民居建筑群,FALSE,云南省红河州建水县翰林街16号
93,云南,锦屏山风景区,,0,24,176,云南·红河·弥勒县,"103.435938,24.476699",花木似锦，山峰连列如屏，世称锦屏,FALSE,红河州弥勒市西三镇锦屏山风景区
94,云南,望天树景区,4 A,4.1,169,170,云南·西双版纳·勐腊县,"101.594904,21.625925",走进望天树，亲近热带雨林,FALSE,云南省勐腊县西双版纳热带雨林国家公园望天树景区
95,云南,昆明融创海世界,,0,180,158,云南·昆明·昆明融创乐园,"102.659586,25.021597",昆明融创海世界占地面积4万平方米，相当于6个标准足球场，馆内陈设78个展缸，畅游着千余种珍稀海洋生物，梦幻珊瑚花海骄傲绽,FALSE,云南省昆明市西山区碧鸡路2999-1号昆明融创海世界（2号停车场）
96,云南,天龙八部影视城,3A,3.8,32,152,云南·大理·大理市,"100.155122,25.688114",为拍摄《天龙八部》兴建的拍摄基地,FALSE,云南省大理州大理古城苍山景区下
97,云南,西部大峡谷温泉,4 A,0,76,152,云南·昭通·水富县,"104.377061,28.644863",沉醉在山顶的云雾中，沐浴在升腾的水雾里,FALSE,云南省昭通市水富县金沙江畔
98,云南,普者黑,5 A,5,180,146,云南·文山·丘北县,"104.13577,24.123152",中国独一无二的喀斯特山水田园风光,FALSE,云南省文山壮族苗族自治州丘北县城西13公里
99,云南,基诺山,,4.2,152,144,云南·西双版纳·景洪市,"100.992626,22.061546",感受原始、纯朴的民俗风情,FALSE,云南省西双版纳景洪市基诺乡
100,云南,喜洲,,3.9,15,136,云南·大理·大理市,"100.13721,25.856048",建筑造型独具特色，庄重雄浑，古朴典雅,FALSE,云南-大理古城以北18公里处
101,云南,冰川公园,,3.6,188,132,云南·丽江·玉龙雪山,"100.260971,27.104797",浓缩全球中低纬度山岳冰川的主要精华,FALSE,云南省丽江市玉龙纳西族自治县雪山景区内
102,云南,多依河,3A,5,40,130,云南·曲靖·罗平县,"104.507315,24.768979",布依风情浓郁，原始古朴的水车缓慢运转,FALSE,云南省曲靖市罗平县罗乃路
103,云南,昆明西游洞,,0,85,126,云南·昆明·五华区,"102.648809,25.147944",喀斯特地质溶洞，《西游记》的拍摄地,FALSE,云南省昆明市五华区昆禄公路6公里处
104,云南,坝美景区,3A,0,180,118,云南·文山·广南县,"105.047666,24.319947",山清水秀，充满绿意，秀美世外桃源,FALSE,云南省文山壮族苗族自治州广南县
105,云南,情人树,,0,70,110,云南·丽江·宁蒗县,"100.841051,27.679344",人间爱情的见证,FALSE,云南省丽江市宁蒗彝族自治县环湖公路
106,云南,西双版纳热带花卉园,4 A,3.9,35,110,云南·西双版纳·景洪市,"100.794184,22.016914",白白的缅桂花香气，飘进每一个傣家竹楼,FALSE,云南省西双版纳傣族自治州景洪市宣慰大道99号
107,云南,牦牛坪索道,,0,220,108,云南·丽江·玉龙雪山,"100.26092,27.104549",与天然幽静古补的原始森林景观为群,FALSE,云南省丽江市玉龙纳西族自治县玉龙雪山国家风景名胜区北部
108,云南,里格半岛,,0,150,106,云南·丽江·宁蒗县,"100.758068,27.733882",宛如仙境的小岛,FALSE,云南省丽江市宁蒗彝族自治县
109,云南,湄公河水底世界,,0,98,98,云南·西双版纳,"100.880826,22.033484",湄公河水底世界里面有各种海洋鱼类，水母等！有美人鱼剧场表演，有震撼的7D飞跃湄公河8分钟带您体验一江通六国的奇幻之旅。,FALSE,西双版纳原始森林公园湄公河水底世界
110,云南,古滇朵拉萌宠乐园,,0,58,96,云南·昆明·晋宁县,"102.762156,24.77143",古滇朵拉萌宠乐园位于昆明市七彩云南?古滇名城项目内，占地117亩，是北京朵拉爱萌旅游开发股份有限公司秉承 “回归本真、融,FALSE,昆明市晋宁区经十一路1号
111,云南,昆明小人国,,0,90,96,云南·昆明·世界蝴蝶生态园,"102.624528,24.858553",100多个袖珍人给您带来精彩的演出,FALSE,云南省昆明市西山区碧鸡镇黑荞母村
112,云南,普达措国家公园,5 A,4.4,100,96,云南·迪庆·香格里拉县,"99.91451,27.807468",张杰谢娜婚礼之地，原始森林中的伊甸园,FALSE,云南省迪庆藏族自治州香格里拉县建塘镇双桥
113,云南,洱海,4 A,5,113.5,94,云南·大理·大理市,"100.262195,25.610132",邂逅爱情的绝佳之地,FALSE,云南省大理市下关洱河南路1号
114,云南,可邑小镇,,0,35,94,云南·红河·弥勒县,"103.373326,24.519569",感受原汁原味的彝族生态文化,FALSE,云南省红河哈尼族彝族自治州弥勒县城22公里（西三镇可邑村）
115,云南,傣秀剧场,,0,328,84,云南·西双版纳·景洪市,"100.771566,22.018279",傣秀剧场将传统元素与现代科技高度融合,FALSE,云南省西双版纳景洪市嘎栋工业区融创国际度假区傣秀剧院
116,云南,大理古城,,4.8,0.4,82,云南·大理·大理市,"100.170462,25.693527",在静谧中悠远，美得不经意却那么沁人心脾,FALSE,云南大理市下关
117,云南,珠江源,4 A,4.6,25,78,云南·曲靖·沾益县,"103.957184,25.905147",天高云淡，尽享大自然的无限风光,FALSE,云南省曲靖市沾益县境内的马雄山麓
118,云南,昆明直通车,,0,99,78,云南·昆明,"102.668492,25.042577",为您的出行提供方便,FALSE,云南省昆明市
119,云南,印象丽江,,0,196,78,云南·丽江·玉龙雪山,"100.265002,27.103086",洗涤灵魂的演出盛宴,FALSE,云南省丽江市玉龙县玉龙雪山甘海子蓝月谷剧场
120,云南,云花谷,,0,15,76,云南·昆明·五华区,"102.699297,25.195885",项目以河谷内自然地貌为底色和骨架，打造云南首 个好看好玩的立体花园，让人们暂离城市的喧嚣，回归淳璞自然，享受高原蓝天花海,FALSE,昆明市五华区西翥街道三多大村
121,云南,西双版纳热带动物园,,0,39,76,云南·西双版纳·景洪市,"100.799386,22.002923",热带动植物，浓郁民族风，西双版纳的小缩影,FALSE,云南省西双版纳傣族自治州景洪市
122,云南,蓝月谷,5 A,0,188,76,云南·丽江·玉龙雪山,"100.251243,27.131616",撒在玉龙雪山中的蓝宝石,FALSE,云南省丽江市玉龙纳西族自治县15公里处玉龙雪山国家级风景名胜区内
123,云南,蝴蝶泉,3A,4,32,70,云南·大理·大理市,"100.108928,25.913304",蝴蝶泉“三绝”：泉、蝶、树,FALSE,云南省大理白族自治州苍山云弄峰下
124,云南,云南寒武纪小镇欢乐大世界·海豚暂养馆（抚仙湖）,,0,98,70,云南·玉溪·澄江县,"102.966621,24.631911",云南寒武纪小镇欢乐大世界是由上海百汇星融投资控股有限公司打造的重点旅游度假项目，该项目位于云南抚仙湖东北岸，集澄江化石博,FALSE,云南玉溪市澄江市右所镇环湖北路9号
125,云南,大观楼,4 A,4,20,70,云南·昆明·西山区,"102.680412,25.030081",百年宅倾世之赞，文脉之大观楼,FALSE,云南省昆明市西山区大观路72号
126,云南,昆明青龙峡,,0,35,70,云南·昆明·安宁市,"102.378741,25.068699",古藤缠绕，溪流吟唱，一片纯洁的净土,FALSE,云南省昆明安宁市青龙镇青龙峡风景区
127,云南,玉龙雪山索道,,0,368,70,云南·丽江·玉龙雪山,"100.25989,27.105602",先进的索道，体验更快捷更安全,FALSE,云南省丽江市玉龙纳西族自治县
128,云南,武定狮子山,4 A,3.7,65,68,云南·楚雄·武定县,"102.385484,25.539995",自然风光秀甲滇中，是西南的一座奇山,FALSE,云南省楚雄彝族自治州武定县
129,云南,普洱国家公园犀牛坪,,0,118,64,云南·普洱·思茅区,"101.113741,22.597686",北回归线上稀有的生物资源宝库,FALSE,云南省普洱市思茅区东南38公里太阳河
130,云南,挖色镇,,0,108,62,云南·大理·洱海,"100.231859,25.829511",白族本土文化发源地之一,FALSE,云南省大理市洱海东岸
131,云南,腾冲北海湿地,3A,4.6,55,62,云南·保山·腾冲,"98.56517,25.126175",资源丰富的国家湿地保护区,FALSE,云南省保山市腾冲县北海村
132,云南,弥勒湖泉酒店半山温泉,,0,166,云南·红河·弥勒县,云南·红河·弥勒县,"103.410428,24.409664",水质清澈透明、轻滑柔顺,FALSE,云南红河弥勒湖泉酒店半山温泉中心售票处（E座旁边）
133,云南,观音峡,4 A,3.5,190,58,云南·丽江·古城区,"100.276078,26.766885",秀丽峡谷风光，古朴纳西风情,FALSE,云南省丽江市东南17公里处的七河乡
134,云南,花之城,,0,18.9,56,云南·昆明·盘龙区,"102.795125,25.059343",云南之行，美之一站,FALSE,云南省昆明市盘龙区金瓦路8188号
135,内蒙古,响沙湾,5 A,4.2,82,244,内蒙古·鄂尔多斯·达拉特旗,"109.968018,40.249002",跟随骆驼队，踏上一段神秘之旅,FALSE,内蒙古鄂尔多斯市达拉特旗响沙湾景区
136,内蒙古,大召寺,3A,4.5,34,232,内蒙古·呼和浩特·玉泉区,"111.660429,40.80594",霸气侧漏皇上住过地方果然不一样,FALSE,内蒙古呼和浩特市玉泉区大召前街大召寺
137,内蒙古,腾格里沙漠,,0,3,156,内蒙古·阿拉善盟·阿拉善左旗,"104.968104,37.600763",大漠浩瀚，苍凉雄浑，千里起伏连绵的沙丘,FALSE,内蒙古自治区阿拉善盟阿拉善左旗
138,内蒙古,希拉穆仁草原,,5,140,132,内蒙古·包头·达尔罕旗,"111.235959,41.329536",绿草如茵，鲜花遍地，景色使人如痴如醉,FALSE,内蒙古包头市达尔罕茂明安联合旗东南部
